method,level,freq,mean_nRMSE,median_nRMSE,sd_nRMSE,min_nRMSE,max_nRMSE,mean_nMBE,median_nMBE,sd_nMBE,mean_skill,median_skill,mean_SMAPE,median_SMAPE,n_series
lgbm_base,L0,Hourly,24.6404071358452,24.6404071358452,,24.6404071358452,24.6404071358452,-1.03222561636802,-1.03222561636802,,28.8169499364422,28.8169499364422,43.8957061649987,43.8957061649987,1
lgbm_base,L1,Daily,22.1083003295614,21.7137882317203,4.32989901411105,16.5501751812519,28.4604777908783,-5.65828511836729,-5.71179211486201,1.27888532516597,9.02419803799446,8.10611856111711,9.71093739176681,9.36836935214609,5
lgbm_base,L1,Hourly,34.7409391258941,35.0141927041531,7.8767805324736,24.250249901241,46.0540392051811,-2.06235041785185,-1.89044468485026,0.532014676712434,19.3750286656042,20.4944908756651,44.333791178507,44.2969105877059,5
lgbm_base,L2,Daily,28.7944389707599,29.8659172878052,5.52624558022299,16.524516761925,44.3620969444593,-7.78236432456263,-8.01891798800398,2.038752170672,5.84492013084241,6.02276661376841,13.2520166757465,13.6272124595118,318
lgbm_base,L2,Hourly,50.9848791864139,51.9967957906413,9.43351956958952,29.1441269068959,78.5996972232994,-2.46710399280425,-2.34777148168221,1.16325763309011,14.6432467055111,14.373693586183,50.4983864058056,50.9392656737339,318
lgbm_nwp_base,L0,Daily,16.9516154623806,16.9516154623806,,16.9516154623806,16.9516154623806,-3.63049453101306,-3.63049453101306,,16.2101910608034,16.2101910608034,7.18041952917781,7.18041952917781,1
lgbm_nwp_base,L0,Hourly,24.6404071358452,24.6404071358452,,24.6404071358452,24.6404071358452,-1.03222561636802,-1.03222561636802,,28.8169499364422,28.8169499364422,43.8957061649987,43.8957061649987,1
lgbm_nwp_base,L1,Daily,22.1083003295614,21.7137882317203,4.32989901411105,16.5501751812519,28.4604777908783,-5.65828511836729,-5.71179211486201,1.27888532516597,9.02419803799446,8.10611856111711,9.71093739176681,9.36836935214609,5
lgbm_nwp_base,L1,Hourly,34.7409391258941,35.0141927041531,7.8767805324736,24.250249901241,46.0540392051811,-2.06235041785185,-1.89044468485026,0.532014676712434,19.3750286656042,20.4944908756651,44.333791178507,44.2969105877059,5
lgbm_nwp_base,L2,Daily,28.7944389707599,29.8659172878052,5.52624558022299,16.524516761925,44.3620969444593,-7.78236432456263,-8.01891798800398,2.038752170672,5.84492013084241,6.02276661376841,13.2520166757465,13.6272124595118,318
lgbm_nwp_base,L2,Hourly,53.4580558190711,53.2671803299777,13.301342936984,29.4609427402771,98.0860972912096,4.36163316242777,3.30836382403669,4.69860088846943,11.3417156173743,13.2296100347128,21.4261919309218,21.6015978581729,318
pers,L0,Daily,20.2311184104523,20.2311184104523,,20.2311184104523,20.2311184104523,-0.07510362617164,-0.07510362617164,,0,0,7.74614490388218,7.74614490388218,1
